filing_name,filing_date,district_court,exchange,ticker
"Higher One Holdings, Inc.",05/27/2014,D. Connecticut,New York SE,ONE
Prospect Capital Corporation,05/27/2014,S.D. New York,NASDAQ,PSEC
"Provectus Biopharmaceuticals, Inc.",05/27/2014,E.D. Tennessee,New York SE,PVCT
Safeway Inc.,05/23/2014,N.D. California,New York SE,SWY
"PowerSecure International, Inc.",05/22/2014,E.D. North Carolina,New York SE,POWR
Dell Inc.,05/21/2014,W.D. Texas,NASDAQ,DELL
"KCG Americas LLC : Biozoom, Inc. Common Stock",05/20/2014,N.D. Ohio,OTC-BB,BIZM
Forest Oil Corporation,05/19/2014,D. Colorado,New York SE,FST
"Ply Gem Holdings, Inc.",05/19/2014,S.D. New York,New York SE,PGEM
Doral Financial Corporation,05/14/2014,D. Puerto Rico,New York SE,DRL
"Blucora, Inc.",05/12/2014,W.D. Washington,NASDAQ,BCOR
Cliffs Natural Resources Inc.,05/12/2014,N.D. Ohio,New York SE,CLF
"Hastings Entertainment, Inc.",05/09/2014,N.D. Texas,NASDAQ,HAST
"KBR, Inc.",05/09/2014,S.D. Texas,New York SE,KBR
"TelexFree, Inc. : Memberships",05/08/2014,D. Massachusetts,Privately Traded,Privately Traded
"Ruby Tuesday, Inc.",05/06/2014,M.D. Tennessee,New York SE,RT
Och-Ziff Capital Management Group LLC,05/05/2014,S.D. New York,New York SE,OZM
"Advanced Emissions Solutions, Inc.",05/01/2014,D. Colorado,NASDAQ,ADES
Lihua International Inc.,05/01/2014,S.D. New York,NASDAQ,LIWA
The ADT Corporation,04/28/2014,S.D. Florida,New York SE,ADT
Apollo Education Group Incorporated,04/24/2014,D. Arizona,NASDAQ,APOL
"Axesstel, Inc.",04/24/2014,S.D. California,OTC-BB,AXST
CannaVEST Corp.,04/23/2014,S.D. New York,OTC-BB,CANV
World Acceptance Corporation,04/22/2014,D. South Carolina,NASDAQ,WRLD
"Bats Global Markets, Inc. : High Frequency Trading Litigation",04/18/2014,S.D. New York,S.D. New York,S.D. New York
GrowLife Inc.,04/18/2014,C.D. California,OTCQB,PHOT
Kansas City Southern,04/15/2014,W.D. Missouri,New York SE,KSU
Herbalife Ltd.,04/14/2014,C.D. California,New York SE,HLF
"Imperva, Inc.",04/11/2014,N.D. California,New York SE,IMPV
"Genworth Financial, Inc.",04/04/2014,S.D. New York,New York SE,GNW
Allied Nevada Gold Corp.,04/03/2014,D. Nevada,Toronto Stock Exchange,ANV
"InterCloud Systems, Inc.",03/28/2014,D. New Jersey,NASDAQ,ICLD
SolarCity Corporation,03/28/2014,N.D. California,NASDAQ,SCTY
Giant Interactive Group Inc.,03/27/2014,S.D. New York,New York SE,GA
General Motors Company,03/21/2014,E.D. Michigan,New York SE,GM
"Weight Watchers International, Inc.",03/21/2014,S.D. New York,New York SE,WTW
"Global Geophysical Services, Inc.",03/20/2014,S.D. Texas,New York SE,GGS
UTi Worldwide Inc.,03/17/2014,C.D. California,NASDAQ,UTIW
Cytrx Corporation,03/14/2014,C.D. California,NASDAQ,CYTR
Geron Corporation,03/14/2014,N.D. California,NASDAQ,GERN
Hyperdynamics Corporation,03/13/2014,S.D. Texas,New York SE,HDY
Magnachip Semiconductor Corp.,03/12/2014,N.D. California,New York SE,MX
"Conn's, Inc.",03/05/2014,S.D. Texas,NASDAQ,CONN
"Galena Biopharma, Inc.",03/05/2014,D. Oregon,NASDAQ,GALE
"NII Holdings, Inc.",03/04/2014,E.D. Virginia,NASDAQ,NIHD
LifeLock Incorporated,03/03/2014,D. Arizona,New York SE,LOCK
"Immunomedics, Inc.",02/27/2014,D. New Jersey,NASDAQ,IMMU
"InnerWorkings, Inc.",02/27/2014,N.D. Illinois,NASDAQ,INWK
"Intercept Pharmaceuticals, Inc.",02/21/2014,S.D. New York,NASDAQ,ICPT
The Medicines Company,02/21/2014,D. New Jersey,NASDAQ,MDCO
Montage Technology Group Limited,02/19/2014,N.D. California,NASDAQ,MONT
Fairway Group Holdings Corp.,02/14/2014,S.D. New York,NASDAQ,FWM
Coty Inc.,02/13/2014,S.D. New York,New York SE,COTY
City of Monticello : Telecommunications Revenue Bonds Series 2008,02/12/2014,D. Minnesota,Privately Traded,Privately Traded
"Amtrust Financial Services, Inc.",02/04/2014,S.D. New York,NASDAQ,AFSI
"Nicholas Financial, Inc.",02/03/2014,M.D. Florida,NASDAQ,NICK
"K12, Inc.",01/30/2014,E.D. Virginia,New York SE,LRN
"Sarepta Therapeutics, Inc.",01/27/2014,D. Massachusetts,NASDAQ,SRPT
Thoratec Corporation,01/24/2014,N.D. California,NASDAQ,THOR
Nu Skin Enterprises,01/21/2014,D. Utah,New York SE,NUS
Cooper Tire & Rubber Company,01/17/2014,D. Delaware,New York SE,CTB
Merge Healthcare Incorporated,01/16/2014,N.D. Illinois,NASDAQ,MRGE
"Advanced Micro Devices, Inc.",01/15/2014,N.D. California,New York SE,AMD
"Aegerion Pharmaceuticals, Inc.",01/15/2014,D. Massachusetts,NASDAQ,AEGR
Gentium S.p.A. : American Depositary Shares,01/15/2014,S.D. New York,NASDAQ,GENT
"Savient Pharmaceuticals, Inc.",01/15/2014,D. Delaware,OTC-BB,SVNTQ
INTL FCStone Inc.,01/13/2014,S.D. New York,NASDAQ,INTL
"Barnes & Noble, Inc.",01/08/2014,S.D. New York,New York SE,BKS
Net 1 UEPS Technologies Inc.,12/30/2013,S.D. New York,NASDAQ,UEPS
"Angie's List, Inc.",12/23/2013,S.D. Indiana,NASDAQ,ANGI
"Tri-Tech Holding, Inc.",12/20/2013,S.D. New York,NASDAQ,TRIT
Teva Pharmaceutical Industries Limited,12/18/2013,S.D. New York,New York SE,TEVA
"Electronic Arts, Inc.",12/17/2013,N.D. California,NASDAQ,EA
Insys Therapeutics Incorporated,12/16/2013,D. Arizona,NASDAQ,INSY
Turquoise Hill Resources Ltd.,12/13/2013,S.D. New York,New York SE,TRQ
International Business Machines Corporation,12/12/2013,S.D. New York,New York SE,IBM
OSI Systems Inc.,12/12/2013,C.D. California,NASDAQ,OSIS
Sanofi : Contingent Value Rights (CVRs),12/11/2013,S.D. New York,NASDAQ,GCVRZ
The Western Union Company,12/10/2013,D. Colorado,New York SE,WU
Star Scientific Inc.,12/04/2013,D. Delaware,NASDAQ,STSI
"Queen City Investment Fund II, LLC : Membership Interests",12/03/2013,S.D. Ohio,Privately Traded,Privately Traded
"Lumber Liquidators Holdings, Inc.",11/26/2013,E.D. Virginia,New York SE,LL
"Violin Memory, Inc.",11/26/2013,N.D. California,New York SE,VMEM
"PVR Partners, L.P.",11/25/2013,E.D. Pennsylvania,New York SE,PVR
"PhotoMedex, Inc.",11/22/2013,E.D. Pennsylvania,NASDAQ,PHMD
"Tremor Video, Inc.",11/22/2013,S.D. New York,New York SE,TRMR
DFC Global Corp.,11/20/2013,E.D. Pennsylvania,NASDAQ,DLLR
"Hertz Global Holdings, Inc.",11/20/2013,D. New Jersey,New York SE,HTZ
"Fusion-io, Inc.",11/19/2013,N.D. California,New York SE,FIO
"Quality Systems, Inc.",11/19/2013,C.D. California,NASDAQ,QSII
FAB Universal Corporation,11/18/2013,S.D. New York,New York SE,FU
"Catalyst Pharmaceutical Partners, Inc.",11/15/2013,S.D. Florida,NASDAQ,CPRX
"Tile Shop Holdings, Inc.",11/15/2013,D. Minnesota,NASDAQ,TTS
Ixia,11/14/2013,C.D. California,NASDAQ,XXIA
"Tesla Motors, Inc.",11/08/2013,N.D. California,NASDAQ,TSLA
"Tellabs, Inc.",11/05/2013,N.D. Illinois,NASDAQ,TLAB
Amarin Corporation plc,11/01/2013,D. New Jersey,NASDAQ,AMRN
Unilife Corporation,11/01/2013,M.D. Pennsylvania,NASDAQ,UNIS
"Eastern Insurance Holdings, Inc.",10/31/2013,E.D. Pennsylvania,NASDAQ,EIHI
Vical Incorporated,10/30/2013,S.D. California,NASDAQ,VICL
"NQ Mobile, Inc.",10/25/2013,S.D. New York,New York SE,NQ
Pretium Resources Inc.,10/25/2013,S.D. New York,New York SE,PVG
"Strategic Realty Trust, Inc. (f/k/a TNP Strategic Retail Trust, Inc.)",10/23/2013,N.D. California,Privately Traded,Privately Traded
General Cable Corporation,10/21/2013,E.D. Kentucky,New York SE,BGC
"Urban Outfitters, Inc.",10/11/2013,E.D. Pennsylvania,NASDAQ,URBN
"ARIAD Pharmaceuticals, Inc.",10/10/2013,D. Massachusetts,NASDAQ,ARIA
"Atossa Genetics, Inc.",10/10/2013,W.D. Washington,NASDAQ,ATOS
Bankrate Inc.,10/10/2013,S.D. New York,New York SE,RATE
"Achillion Pharmaceuticals, Inc.",10/08/2013,D. Connecticut,NASDAQ,ACHN
Blackberry Limited,10/04/2013,S.D. New York,NASDAQ,BBRY
"J.C. Penney Company, Inc.",10/01/2013,E.D. Texas,New York SE,JCP
"Bioscrip, Inc.",09/30/2013,S.D. New York,NASDAQ,BIOS
"A123 Systems, Inc.",09/27/2013,S.D. New York,NASDAQ,AONE
Francesca's Holdings Corporation,09/27/2013,S.D. New York,NASDAQ,FRAN
"Valley Forge Composite Technologies, Inc.",09/25/2013,S.D. California,OTC-BB,VLYF
"ValueClick, Inc.",09/24/2013,C.D. California,NASDAQ,VCLK
"L&L; Energy, Inc.",09/23/2013,S.D. New York,NASDAQ,LLEN
TNP Strategic Retail Trust Inc.,09/23/2013,C.D. California,Privately Traded,Privately Traded
Edwards Lifesciences Corp.,09/18/2013,C.D. California,New York SE,EW
"OvaScience, Inc.",09/16/2013,D. Massachusetts,NASDAQ,OVAS
Liberty Silver Corporation,09/11/2013,S.D. Florida,Pink Sheets,LBSV
"Active Power, Inc.",09/10/2013,W.D. Texas,NASDAQ,ACPW
"MiMedx Group, Inc.",09/10/2013,N.D. Georgia,NASDAQ,MDXG
Booz Allen Hamilton Holding Corporation,09/03/2013,N.D. New York,New York SE,BAH
Nuverra Environmental Solutions Incorporated,09/03/2013,D. Arizona,New York SE,NES
PetroChina Co. Ltd.,09/03/2013,S.D. New York,New York SE,PTR
"NuVasive, Inc.",08/28/2013,S.D. California,NASDAQ,NUVA
The First Marblehead Corp.,08/28/2013,D. Massachusetts,New York SE,FMD
"Expedia, Inc.",08/27/2013,W.D. Washington,NASDAQ,EXPE
"Lightinthebox Holding Co., Ltd.",08/27/2013,S.D. New York,New York SE,LITB
"Biolase, Inc.",08/23/2013,C.D. California,NASDAQ,BIOL
Velti plc,08/22/2013,N.D. California,NASDAQ,VELT
"Kior, Inc.",08/20/2013,S.D. Texas,NASDAQ,KIOR
"Tower Group International, Ltd.",08/20/2013,S.D. New York,NASDAQ,TWGP
"Furniture Brands International, Inc.",08/16/2013,E.D. Missouri,New York SE,FBN
"ECOtality, Inc.",08/15/2013,N.D. California,NASDAQ,ECTY
McDermott International Inc.,08/15/2013,S.D. Texas,New York SE,MDR
"Meadowbrook Insurance Group, Inc.",08/15/2013,S.D. New York,New York SE,MIG
"Molycorp, Inc.",08/14/2013,S.D. New York,New York SE,MCP
Orthofix International N.V.,08/14/2013,S.D. New York,NASDAQ,OFIX
"Juniper Networks, Inc.",08/12/2013,N.D. California,New York SE,JNPR
Microsoft Corporation,08/12/2013,W.D. Washington,NASDAQ,MSFT
"Inteliquent, Inc.",08/09/2013,N.D. Illinois,NASDAQ,IQNT
CafePress Inc.,08/08/2013,N.D. California,NASDAQ,PRSS
Vocera Communications Inc.,08/01/2013,N.D. California,New York SE,VCRA
CFS Bancorp Inc.,07/30/2013,N.D. Indiana,NASDAQ,CITZ
Warner Chilcott Public Limited Company,07/29/2013,D. New Jersey,NASDAQ,WCRX
"Accentia Biopharmaceuticals, Inc.",07/26/2013,M.D. Florida,Pink Sheets,ABPI
"Polycom, Inc.",07/26/2013,N.D. California,NASDAQ,PLCM
JAKKS Pacific Inc.,07/25/2013,C.D. California,NASDAQ,JAKK
Kohl's Corporation,07/24/2013,E.D. Wisconsin,New York SE,KSS
PVF Capital Corporation,07/24/2013,N.D. Ohio,NASDAQ,PVFC
Walter Investment Management Corp.,07/24/2013,S.D. Florida,New York SE,WAC
"Linnco, LLC",07/10/2013,S.D. New York,NASDAQ,LNCO
SemiLEDs Corporation,07/10/2013,S.D. New York,NASDAQ,LEDS
"DNTW Chartered Accountants, LLP : Subaye, Inc.",07/03/2013,S.D. New York,OTC-BB,SBAY
Lululemon Athletica Inc.,07/02/2013,S.D. New York,NASDAQ,LULU
"Uroplasty, Inc.",07/01/2013,S.D. New York,NASDAQ,UPI
IEC Electronics Corp.,06/28/2013,S.D. New York,New York SE,IEC
Tetra Tech Inc.,06/28/2013,C.D. California,NASDAQ,TTEK
"Medtronic, Inc.",06/27/2013,D. Minnesota,New York SE,MDT
Power-One Inc.,06/26/2013,C.D. California,NASDAQ,PWER
"Vanda Pharmaceuticals, Inc.",06/24/2013,D. District Columbia,NASDAQ,VNDA
"Corinthian Colleges, Inc.",06/20/2013,C.D. California,NASDAQ,COCO
Geospace Technologies Corporation,06/19/2013,D. Delaware,NASDAQ,GEOS
Dynavax Technologies Corporation,06/18/2013,N.D. California,NASDAQ,DVAX
"Credit Suisse International : Energy Conversion Devices, Inc. Common Stock",06/17/2013,S.D. New York,NASDAQ,ENERQ
Crestwood Midstream Partners LP,06/17/2013,S.D. Texas,New York SE,CMLP
iGate Corporation,06/14/2013,N.D. California,NASDAQ,IGTE
"Scuderi Group, Inc.",06/13/2013,D. Massachusetts,Privately Traded,Privately Traded
National Financial Partners Corp.,06/07/2013,S.D. New York,New York SE,NFP
Barrick Gold Corporation,06/05/2013,S.D. New York,New York SE,ABX
"CenturyLink, Inc.",06/05/2013,S.D. New York,New York SE,CTL
"Uni-Pixel, Inc.",06/05/2013,S.D. Texas,NASDAQ,UNXL
"Spirit AeroSystems Holdings, Inc.",06/03/2013,D. Kansas,New York SE,SPR
ATP Oil & Gas Corporation : 11.875% Senior Second Lien Exchange Notes,05/24/2013,E.D. Louisiana,NASDAQ,ATPAQ
Groupon Inc.,05/24/2013,D. Delaware,NASDAQ,GRPN
Invacare Corporation,05/24/2013,N.D. Ohio,New York SE,IVC
"Aruba Networks, Inc.",05/23/2013,N.D. California,NASDAQ,ARUN
"Cash Store Financial Services, Inc.",05/20/2013,S.D. New York,New York SE,CSFS
"Accretive Health, Inc.",05/17/2013,N.D. Illinois,New York SE,AH
Hot Topic Inc,05/17/2013,C.D. California,NASDAQ,HOTT
"Nam Tai Electronics, Inc.",05/17/2013,S.D. New York,New York SE,NTE
"Amyris, Inc.",05/14/2013,N.D. California,NASDAQ,AMRS
"Ventrus Biosciences, Inc.",05/10/2013,S.D. New York,NASDAQ,VTUS
"Aveo Pharmaceuticals, Inc.",05/09/2013,D. Massachusetts,NASDAQ,AVEO
"Delcath Systems, Inc.",05/08/2013,S.D. New York,NASDAQ,DCTH
"Vitamin Shoppe, Inc.",05/07/2013,D. New Jersey,New York SE,VSI
"Digital Generation, Inc.",05/02/2013,N.D. Texas,NASDAQ,DGIT
"Intuitive Surgical, Inc.",04/26/2013,N.D. California,NASDAQ,ISRG
Magnum Hunter Resources Corporation,04/23/2013,S.D. New York,New York SE,MHR
"UniTek Global Services, Inc.",04/19/2013,E.D. Pennsylvania,NASDAQ,UNTK
"Autoliv, Inc.",04/17/2013,S.D. New York,New York SE,ALV
"Phoenix Companies, Inc.",04/17/2013,D. Connecticut,New York SE,PNX
Exide Technologies,04/15/2013,C.D. California,NASDAQ,XIDE
"CITIC Trust Co., Ltd. : Puda Coal, Inc.",04/08/2013,S.D. New York,OTC-BB,PUDA
Cole Holdings Corporation : Cole Credit Property Trust III,04/08/2013,D. Arizona,Privately Traded,COLE
First M&F; Corporation,04/08/2013,N.D. Mississippi,NASDAQ,FMFC
Wal-Mart De Mexico SAB De CV : American Depositary Shares,04/05/2013,S.D. New York,OTC-BB,WMMVY
"Avid Technology, Inc.",03/25/2013,D. Massachusetts,NASDAQ,AVID
"Star Scientific, Inc.",03/25/2013,E.D. Virginia,NASDAQ,STSI
Harvest Natural Resource,03/22/2013,S.D. Texas,New York SE,HNR
Great Lakes Dredge & Dock Corporation,03/19/2013,N.D. Illinois,NASDAQ,GLDD
Navistar International Corporation,03/19/2013,N.D. Illinois,New York SE,NAV
"Diodes, Inc.",03/15/2013,E.D. Texas,NASDAQ,DIOD
"Spectrum Pharmaceuticals, Inc.",03/14/2013,D. Nevada,NASDAQ,SPPI
"Maxwell Technologies, Inc.",03/13/2013,S.D. California,NASDAQ,MXWL
"ITT Educational Services, Inc.",03/11/2013,S.D. New York,New York SE,ESI
Atlantic Power Corporation,03/08/2013,D. Massachusetts,New York SE,AT
"Goldman Kurland Mohidin LLP : Deer Consumer Products, Inc.",03/08/2013,C.D. California,NASDAQ,DEER
"Impax Laboratories, Inc.",03/07/2013,N.D. California,NASDAQ,IPXL
"VeriFone Systems, Inc.",03/07/2013,N.D. California,New York SE,PAY
Incyte Corporation,03/06/2013,D. Delaware,NASDAQ,INCY
"Epocrates, Inc.",03/01/2013,N.D. California,NASDAQ,EPOC
"Tangoe, Inc.",03/01/2013,D. Connecticut,NASDAQ,TNGO
"Affymax, Inc.",02/27/2013,N.D. California,NASDAQ,AFFY
"Hein & Associates LLP : Raser Technologies, Inc.",02/25/2013,D. Colorado,NASDAQ,RZTIQ
Poseidon Concepts Corp.,02/22/2013,S.D. New York,Pink Sheets,POOSF
"Family Dollar Stores, Inc.",02/21/2013,W.D. North Carolina,New York SE,FDO
Netflix Inc,02/19/2013,N.D. California,NASDAQ,NFLX
SeaCube Container Leasing Ltd.,02/12/2013,D. New Jersey,New York SE,BOX
Alterra Capital Holdings Limited,02/08/2013,S.D. New York,NASDAQ,ALTE
"Mellanox Technologies, Ltd.",02/07/2013,N.D. California,NASDAQ,MLNX
YPF Sociedad Anonima : American Depositary Shares,02/05/2013,S.D. New York,New York SE,YPF
"Cirrus Logic, Inc.",02/04/2013,S.D. New York,NASDAQ,CRUS
"Keryx Biopharmaceuticals, Inc",02/01/2013,S.D. New York,NASDAQ,KERX
Voyager Financial Group LLC : Veterans Benefits Contracts,01/31/2013,C.D. California,Privately Traded,Privately Traded
"YUM! Brands, Inc.",01/24/2013,W.D. Kentucky,New York SE,YUM
"Tellabs, Inc.",01/23/2013,N.D. Illinois,NASDAQ,TLAB
Commonwealth Bankshares,01/22/2013,E.D. Virginia,OTC-BB,CWBS
"magicJack VocalTec, Ltd.",01/18/2013,S.D. New York,NASDAQ,CALL
"VeriSign, Inc.",01/16/2013,E.D. Virginia,NASDAQ,VRSN
Longwei Petroleum Investment Holding Limited,01/04/2013,S.D. New York,New York SE,LPH
"ISIS Pharmaceuticals, Inc.",12/28/2012,S.D. California,NASDAQ,ISIS
"Silvercorp Metals, Inc.",12/28/2012,S.D. New York,New York SE,SVM
CommonWealth REIT,12/27/2012,D. Massachusetts,New York SE,CWH
New Jersey Resources Corporation,12/27/2012,D. New Jersey,New York SE,NJR
"Groupon, Inc.",12/21/2012,N.D. Illinois,NASDAQ,GRPN
"Hemispherx Biopharma, Inc.",12/21/2012,E.D. Pennsylvania,New York SE,HEB
"S.A.C. Capital Advisors, L.P. : American Depositary Receipts of Elan Corporation, plc",12/21/2012,S.D. New York,New York SE,ELN
Neptune Technologies & Bioresources Inc.,12/19/2012,S.D. New York,NASDAQ,NEPT
"Qiao Xing Mobile Communication Company, Ltd.",12/19/2012,S.D. New York,NASDAQ,QXM
"St. Jude Medical, Inc.",12/07/2012,D. Minnesota,New York SE,STJ2
"SandRidge Energy, Inc.",12/05/2012,W.D. Oklahoma,New York SE,SD
"Zillow, Inc.",11/29/2012,W.D. Washington,NASDAQ,Z
"Align Technology, Inc.",11/28/2012,N.D. California,NASDAQ,ALGN
Hewlett-Packard Company,11/26/2012,N.D. California,New York SE,HPQ2
Hi-Crush Partners LP,11/21/2012,S.D. New York,New York SE,HCLP
"Sinohub, Inc.",11/20/2012,S.D. New York,New York SE,SIHI
"Abiomed, Inc.",11/16/2012,D. Massachusetts,NASDAQ,ABMD
"Blyth, Inc.",11/12/2012,D. Connecticut,New York SE,BTH
"Envivio, Inc.",11/02/2012,N.D. California,NASDAQ,ENVI
"Tennessee Commerce Bancorp, Inc.",11/02/2012,M.D. Tennessee,OTC-BB,TNCC
Gold Resource Corporation,10/25/2012,D. Colorado,American SE,GORO
"Overseas Shipholding Group, Inc.",10/24/2012,S.D. New York,New York SE,OSG
"Chanticleer Holdings, Inc.",10/12/2012,S.D. Florida,NASDAQ,HOTR
"OCZ Technology Group, Inc.",10/11/2012,N.D. California,NASDAQ,OCZ
China Agritech Inc.,10/04/2012,C.D. California,OTC-BB,CAGC
"Peregrine Pharmaceuticals, Inc.",09/28/2012,C.D. California,NASDAQ,PPHM
"Questcor Pharmaceuticals, Inc.",09/26/2012,C.D. California,NASDAQ,QCOR
Patriot Coal Corporation,09/21/2012,E.D. Missouri,NASDAQ,PCX
"Digital Domain Media Group, Inc.",09/20/2012,S.D. Florida,NASDAQ,DDMG
"Behringer Harvard REIT I, Inc.",09/17/2012,N.D. Texas,Privately Traded,Privately Traded
"Valence Technology, Inc.",09/10/2012,W.D. Texas,NASDAQ,VLNCQ
"DGSE Companies, Inc",09/07/2012,N.D. Texas,New York SE,DGSE
"Ubiquiti Networks, Inc.",09/07/2012,N.D. California,NASDAQ,UBNT
"Vertex Pharmaceuticals, Inc.",09/06/2012,D. Massachusetts,NASDAQ,VRTX
Zagg,09/06/2012,D. Utah,NASDAQ,ZAGG
"SmartHeat, Inc.",08/31/2012,S.D. New York,NASDAQ,HEAT
"Assisted Living Concepts, Inc.",08/29/2012,E.D. Wisconsin,New York SE,ALC
Body Central Corporation,08/27/2012,M.D. Florida,NASDAQ,BODY
Rex Venture Group LLC,08/24/2012,W.D. North Carolina,Privately Traded,Privately Traded
"Prudential Financial, Inc.",08/22/2012,D. New Jersey,New York SE,PRU
Monster Beverage Corporation,08/21/2012,S.D. California,NASDAQ,MNST
"Knight Capital Group, Inc.",08/17/2012,D. New Jersey,New York SE,KCG
Robbins & Myers Inc.,08/17/2012,S.D. Ohio,New York SE,RBN
"Alpha Natural Resources, Inc. : Merger with Massey Energy Co.",08/16/2012,S.D. West Virginia,New York SE,ANR
"Chipotle Mexican Grill, Inc.",08/16/2012,D. Colorado,New York SE,CMG
Par Pharmaceutical Companies Inc.,08/14/2012,D. New Jersey,New York SE,PRX
"UBS Financial Services, Inc. of Puerto Rico : Closed-End Funds",08/13/2012,D. Puerto Rico,Privately Traded,Privately Traded
"Network Engines, Inc.",08/09/2012,D. Massachusetts,NASDAQ,NEI
Eaton Corporation,08/03/2012,N.D. Ohio,New York SE,ETN
Hewlett Packard Company,08/03/2012,N.D. California,New York SE,HPQ
"Suntech Power Holdings Co., Ltd : American Depositary Shares",08/02/2012,N.D. California,New York SE,STP
Radioshack Corporation,07/30/2012,N.D. Texas,New York SE,RSH
"Zynga, Inc.",07/30/2012,N.D. California,NASDAQ,ZNGA
Green Dot Corporation,07/27/2012,C.D. California,New York SE,GDOT
"BrightPoint, Inc.",07/24/2012,S.D. Indiana,NASDAQ,CELL
Duke Energy Corporation,07/24/2012,W.D. North Carolina,New York SE,DUK
Nasdaq OMX Group Inc. : Facebook Inc.,07/23/2012,S.D. New York,NASDAQ,FB
New Oriental Education and Technology Group Inc. : American Depositary Shares,07/23/2012,S.D. New York,New York SE,EDU
"Ignite Restaurant Group, Inc.",07/20/2012,S.D. Texas,NASDAQ,IRG
Lime Energy Co.,07/20/2012,N.D. Illinois,NASDAQ,LIME
"Bridgepoint Education, Inc.",07/17/2012,S.D. California,New York SE,BPI
Barclays PLC : American Depository Receipts,07/10/2012,S.D. New York,New York SE,BCS
"Big Lots, Inc.",07/09/2012,S.D. Ohio,New York SE,BIG
"Polymedix, Inc.",07/02/2012,E.D. Pennsylvania,NASDAQ,PYMX
Centene Corporation,06/29/2012,E.D. Missouri,New York SE,CNC
General Motors Company,06/29/2012,S.D. New York,New York SE,GM
American Oriental Bioengineering Inc,06/22/2012,C.D. California,OTC-BB,AOB
SRI Surgical Express Incorporated,06/22/2012,M.D. Florida,NASDAQ,STRC
UBS AG,06/22/2012,S.D. New York,New York SE,UBS
"Lone Pine Resources, Inc.",06/20/2012,S.D. New York,New York SE,LPR
"Tempur-Pedic International, Inc.",06/20/2012,E.D. Kentucky,New York SE,TPX
AEterna Zentaris Inc.,06/15/2012,S.D. New York,NASDAQ,AEZS
THQ Inc,06/15/2012,C.D. California,NASDAQ,THQI
"St. Jude Medical, Inc.",06/14/2012,D. Minnesota,New York SE,STJ
"LHC Group, Inc.",06/13/2012,W.D. Louisiana,NASDAQ,LHCG
General Maritime Corporation,06/12/2012,S.D. New York,NASDAQ,GMR
"Moduslink Global Solutions, Inc.",06/12/2012,D. Massachusetts,NASDAQ,MLNK
Ambow Education Holding Ltd.,06/11/2012,C.D. California,New York SE,AMBO
Central European Distribution Corporation,06/08/2012,D. New Jersey,NASDAQ,CEDC
EasyLink Services International Corporation,06/08/2012,N.D. Georgia,NASDAQ,ESIC
Deckers Outdoor Corporation,05/31/2012,C.D. California,NASDAQ,DECK
Chinacast Education Corporation,05/25/2012,C.D. California,NASDAQ,CAST
"Cost Plus, Inc.",05/25/2012,N.D. California,NASDAQ,CPWM
Credit Suisse AG : VelocityShares Daily 2x VIX Short Term Exchange Traded Notes,05/25/2012,S.D. New York,New York SE,TVIX
"KIT Digital, Inc.",05/25/2012,S.D. New York,NASDAQ,KITD
"Orrstown Financial Services, Inc.",05/25/2012,M.D. Pennsylvania,NASDAQ,ORRF
"Tibet Pharmaceuticals, Inc.",05/25/2012,D. New Jersey,OTC-BB,TBET
"Facebook, Inc.",05/23/2012,S.D. New York,NASDAQ,FB
Viropharma Incorporated,05/17/2012,E.D. Pennsylvania,NASDAQ,VPHM
JPMorgan Chase & Co.,05/14/2012,S.D. New York,New York SE,JPM
MAKO Surgical Corporation,05/10/2012,S.D. Florida,NASDAQ,MAKO
"Green Mountain Coffee Roasters, Inc.",05/07/2012,D. Vermont,NASDAQ,GMCR
"Wal-Mart Stores, Inc.",05/07/2012,W.D. Arkansas,New York SE,WMT
Magna International Inc.,05/04/2012,S.D. New York,New York SE,MGA
"AOL, Inc.",05/03/2012,S.D. New York,New York SE,AOL
Nokia Corporation,05/03/2012,S.D. New York,New York SE,NOK
"Allscripts Healthcare Solutions, Inc.",05/02/2012,N.D. Illinois,NASDAQ,MDRX
Houston American Energy Corp.,04/27/2012,S.D. Texas,New York SE,HUSA
"Qiao Xing Universal Resources, Inc.",04/27/2012,D. Virgin Islands,NASDAQ,XING
"Accretive Health, Inc.",04/26/2012,N.D. Illinois,New York SE,AH
Chesapeake Energy Corporation,04/26/2012,W.D. Oklahoma,New York SE,CHK
"NeurogesX, Inc.",04/23/2012,N.D. California,NASDAQ,NGSX
"Frazer Frost, LLP (Frost, PLLC) : China Natural Gas' Financial Statements",04/20/2012,S.D. New York,Pink Sheets,CHNG
Delta Petroleum Corp.,04/18/2012,D. Colorado,NASDAQ,DPTR
Enterprise Financial Services Corp.,04/10/2012,E.D. Missouri,NASDAQ,EFSC
"Chelsea Therapeutics International, Ltd.",04/04/2012,W.D. North Carolina,NASDAQ,CHTP
"Groupon, Inc.",04/03/2012,N.D. Illinois,NASDAQ,GRPN
"A123 Systems, Inc.",04/02/2012,D. Massachusetts,NASDAQ,AONE
Hyperdynamics Corporation,04/02/2012,S.D. Texas,New York SE,HDY
"Swisher Hygiene, Inc.",03/30/2012,W.D. North Carolina,NASDAQ,SWSH
"Dynegy, Inc.",03/28/2012,S.D. New York,New York SE,DYN
"Oppenheimer Global Resource Private Equity Fund I, L.P.",03/26/2012,D. Massachusetts,Privately Traded,Privately Traded
Weatherford International Ltd.,03/22/2012,S.D. New York,New York SE,WFT
"First Solar, Inc.",03/15/2012,D. Arizona,NASDAQ,FSLR
